Quincho Pier,-79,1
FaryLink_0F1687,-78,1
WIFI Pier,-41,1
FaryLink_0F081B,-79,1
timelapse,-87,1
Casanova 2,-85,1
cv norte,-90,1
HP-Print-9C-LaserJet M12,-94,6
WebSTAR,-86,6
barbi,-88,6
Fibertel WiFi971 2.4GHz,-89,11
Motorola,-87,11
