FaryLink_0F081B,-78,1
timelapse,-88,1
FaryLink_0F1687,-79,1
WIFI Pier,-34,1
Casanova 2,-86,1
WebSTAR,-71,6
Quincho Pier,-78,1
Motorola,-72,11
Fibertel WiFi569 2.4GHz,-83,11
