timelapse,-79,1
WIFI Pier,-38,1
Casanova 2,-69,1
FaryLink_0F081B,-65,1
FaryLink_0F1687,-80,1
cv norte,-87,1
WebSTAR,-78,6
HP-Print-92-Deskjet 3540 series,-92,1
Fibertel WiFi165 2.4GHz,-83,11
Motorola,-77,11
